athlete,athlete_id,country_noc,sexo,sport,medal,edition
Jennison Heaton,86530,USA,Men,Skeleton,Gold,1928 Winter Olympics
Nino Bibbia,84107,ITA,Men,Skeleton,Gold,1948 Winter Olympics
"Jim Shea, Jr.",101695,USA,Men,Skeleton,Gold,2002 Winter Olympics
Tristan Gale,101682,USA,Women,Skeleton,Gold,2002 Winter Olympics
Duff Gibson,101704,CAN,Men,Skeleton,Gold,2006 Winter Olympics
Maya Pedersen,101686,SUI,Women,Skeleton,Gold,2006 Winter Olympics
Thomas Köhler,88773,GER,Men,Luge,Gold,1964 Winter Olympics
Josef Feistmantl,85662,AUT,Open,Luge,Gold,1964 Winter Olympics
Ortrun Enderlein,81022,GER,Women,Luge,Gold,1964 Winter Olympics
Manfred Schmid,97276,AUT,Men,Luge,Gold,1968 Winter Olympics
Klaus-Michael Bonsack,84251,GDR,Open,Luge,Gold,1968 Winter Olympics
Erika Lechner,80566,ITA,Women,Luge,Gold,1968 Winter Olympics
Wolfgang Scheidel,97227,GDR,Men,Luge,Gold,1972 Winter Olympics
Horst Hörnlein,87300,GDR,Open,Luge,Gold,1972 Winter Olympics
Paul Hildgartner,86640,ITA,Open,Luge,Gold,1972 Winter Olympics
Anna-Maria Müller,81894,GDR,Women,Luge,Gold,1972 Winter Olympics
Dettlef Günther,86336,GDR,Men,Luge,Gold,1976 Winter Olympics
Hans Rinn,96868,GDR,Open,Luge,Gold,1976 Winter Olympics
Margit Schumann,82313,GDR,Women,Luge,Gold,1976 Winter Olympics
Bernhard Glass,86094,GDR,Men,Luge,Gold,1980 Winter Olympics
Norbert Hahn,86377,GDR,Open,Luge,Gold,1980 Winter Olympics
Vera Zozuļa,83126,RUS,Women,Luge,Gold,1980 Winter Olympics
Paul Hildgartner,86640,ITA,Men,Luge,Gold,1984 Winter Olympics
Hans Stanggassinger,97764,FRG,Open,Luge,Gold,1984 Winter Olympics
Steffi Martin,81767,GDR,Women,Luge,Gold,1984 Winter Olympics
Jens Müller,95671,GDR,Men,Luge,Gold,1988 Winter Olympics
Jochen Pietzsch,96437,GDR,Open,Luge,Gold,1988 Winter Olympics
Steffi Walter,81767,GDR,Women,Luge,Gold,1988 Winter Olympics
Georg Hackl,86358,GER,Men,Luge,Gold,1992 Winter Olympics
Stefan Krauße,88609,GER,Open,Luge,Gold,1992 Winter Olympics
Doris Neuner,81930,AUT,Women,Luge,Gold,1992 Winter Olympics
Georg Hackl,86358,GER,Men,Luge,Gold,1994 Winter Olympics
Wilfried Huber,87212,ITA,Open,Luge,Gold,1994 Winter Olympics
Gerda Weissensteiner,83024,ITA,Women,Luge,Gold,1994 Winter Olympics
Georg Hackl,86358,GER,Men,Luge,Gold,1998 Winter Olympics
Stefan Krauße,88609,GER,Open,Luge,Gold,1998 Winter Olympics
Silke Kraushaar,100507,GER,Women,Luge,Gold,1998 Winter Olympics
Armin Zöggeler,99296,ITA,Men,Luge,Gold,2002 Winter Olympics
Patric Leitner,101507,GER,Open,Luge,Gold,2002 Winter Olympics
Sylke Otto,82005,GER,Women,Luge,Gold,2002 Winter Olympics
Armin Zöggeler,99296,ITA,Men,Luge,Gold,2006 Winter Olympics
Wolfgang Linger,101513,AUT,Open,Luge,Gold,2006 Winter Olympics
Sylke Otto,82005,GER,Women,Luge,Gold,2006 Winter Olympics
Heinrich Schläppi,97269,SUI,Men,Bobsleigh,Gold,1924 Winter Olympics
Geoffrey Mason,95211,USA,Men,Bobsleigh,Gold,1928 Winter Olympics
Curtis Stevens,97837,USA,Men,Bobsleigh,Gold,1932 Winter Olympics
J. J. O'Brien,95948,USA,Men,Bobsleigh,Gold,1932 Winter Olympics
Ivan Brown,84402,USA,Men,Bobsleigh,Gold,1936 Winter Olympics
Charles Bouvier,84297,SUI,Men,Bobsleigh,Gold,1936 Winter Olympics
Fritz Waller,98794,SUI,Men,Bobsleigh,Gold,1948 Winter Olympics
Bill D'Amico,84964,USA,Men,Bobsleigh,Gold,1948 Winter Olympics
Anderl Ostler,96104,GER,Men,Bobsleigh,Gold,1952 Winter Olympics
Fritz Kuhn,88691,GER,Men,Bobsleigh,Gold,1952 Winter Olympics
Giacomo Conti,84854,ITA,Men,Bobsleigh,Gold,1956 Winter Olympics
Heiri Angst,83648,SUI,Men,Bobsleigh,Gold,1956 Winter Olympics
Robin Dixon,85226,GBR,Men,Bobsleigh,Gold,1964 Winter Olympics
Peter Kirby,87975,CAN,Men,Bobsleigh,Gold,1964 Winter Olympics
Luciano De Paolis,85073,ITA,Men,Bobsleigh,Gold,1968 Winter Olympics
Roberto Zandonella,99167,ITA,Men,Bobsleigh,Gold,1968 Winter Olympics
Wolfgang Zimmerer,99238,FRG,Men,Bobsleigh,Gold,1972 Winter Olympics
Edy Hubacher,75825,SUI,Men,Bobsleigh,Gold,1972 Winter Olympics
Meinhard Nehmer,95777,GDR,Men,Bobsleigh,Gold,1976 Winter Olympics
Jochen Babock,83771,GDR,Men,Bobsleigh,Gold,1976 Winter Olympics
Erich Schärer,97370,SUI,Men,Bobsleigh,Gold,1980 Winter Olympics
Bogdan Musiol,95658,GDR,Men,Bobsleigh,Gold,1980 Winter Olympics
Wolfgang Hoppe,87147,GDR,Men,Bobsleigh,Gold,1984 Winter Olympics
Roland Wetzig,98918,GDR,Men,Bobsleigh,Gold,1984 Winter Olympics
Vladimir Kozlov,88592,RUS,Men,Bobsleigh,Gold,1988 Winter Olympics
Werner Stocker,97863,SUI,Men,Bobsleigh,Gold,1988 Winter Olympics
Gustav Weder,98854,SUI,Men,Bobsleigh,Gold,1992 Winter Olympics
Ingo Appelt,83670,AUT,Men,Bobsleigh,Gold,1992 Winter Olympics
Donat Acklin,83158,SUI,Men,Bobsleigh,Gold,1994 Winter Olympics
Alexander Szelig,98068,GER,Men,Bobsleigh,Gold,1994 Winter Olympics
Günther Huber,87207,ITA,Men,Bobsleigh,Gold,1998 Winter Olympics
Dave MacEachern,92016,CAN,Men,Bobsleigh,Gold,1998 Winter Olympics
Markus Zimmermann,99243,GER,Men,Bobsleigh,Gold,1998 Winter Olympics
Christoph Langen,89398,GER,Men,Bobsleigh,Gold,2002 Winter Olympics
Enrico Kühn,101870,GER,Men,Bobsleigh,Gold,2002 Winter Olympics
Vonetta Flowers,101654,USA,Women,Bobsleigh,Gold,2002 Winter Olympics
Kevin Kuske,101871,GER,Men,Bobsleigh,Gold,2006 Winter Olympics
Martin Putze,110998,GER,Men,Bobsleigh,Gold,2006 Winter Olympics
Anja Schneiderheinze,110776,GER,Women,Bobsleigh,Gold,2006 Winter Olympics
Kim Gi-Hun,87949,KOR,Men,Short Track Speed Skating,Gold,1992 Winter Olympics
Mo Ji-Su,95507,KOR,Men,Short Track Speed Skating,Gold,1992 Winter Olympics
Cathy Turner,82899,USA,Women,Short Track Speed Skating,Gold,1992 Winter Olympics
Angela Cutrone,80896,CAN,Women,Short Track Speed Skating,Gold,1992 Winter Olympics
Chae Ji-Hun,84684,KOR,Men,Short Track Speed Skating,Gold,1994 Winter Olympics
Kim Gi-Hun,87949,KOR,Men,Short Track Speed Skating,Gold,1994 Winter Olympics
Diego Cattani,100263,ITA,Men,Short Track Speed Skating,Gold,1994 Winter Olympics
Cathy Turner,82899,USA,Women,Short Track Speed Skating,Gold,1994 Winter Olympics
Jeon I-Gyeong,80843,KOR,Women,Short Track Speed Skating,Gold,1994 Winter Olympics
