edition,sport,event,athlete_id
1928 Winter Olympics,Skeleton,"Skeleton, Men",86530
1948 Winter Olympics,Skeleton,"Skeleton, Men",84107
2002 Winter Olympics,Skeleton,"Skeleton, Men",101695
2002 Winter Olympics,Skeleton,"Skeleton, Women",101682
2006 Winter Olympics,Skeleton,"Skeleton, Men",101704
2006 Winter Olympics,Skeleton,"Skeleton, Women",101686
1964 Winter Olympics,Luge,"Singles, Men",88773
1964 Winter Olympics,Luge,"Doubles, Open",85662
1964 Winter Olympics,Luge,"Singles, Women",81022
1968 Winter Olympics,Luge,"Singles, Men",97276
1968 Winter Olympics,Luge,"Doubles, Open",84251
1968 Winter Olympics,Luge,"Singles, Women",80566
1972 Winter Olympics,Luge,"Singles, Men",97227
1972 Winter Olympics,Luge,"Doubles, Open",87300
1972 Winter Olympics,Luge,"Doubles, Open",86640
1972 Winter Olympics,Luge,"Singles, Women",81894
1976 Winter Olympics,Luge,"Singles, Men",86336
1976 Winter Olympics,Luge,"Doubles, Open",96868
1976 Winter Olympics,Luge,"Singles, Women",82313
1980 Winter Olympics,Luge,"Singles, Men",86094
1980 Winter Olympics,Luge,"Doubles, Open",86377
1980 Winter Olympics,Luge,"Singles, Women",83126
1984 Winter Olympics,Luge,"Singles, Men",86640
1984 Winter Olympics,Luge,"Doubles, Open",97764
1984 Winter Olympics,Luge,"Singles, Women",81767
1988 Winter Olympics,Luge,"Singles, Men",95671
1988 Winter Olympics,Luge,"Doubles, Open",96437
1988 Winter Olympics,Luge,"Singles, Women",81767
1992 Winter Olympics,Luge,"Singles, Men",86358
1992 Winter Olympics,Luge,"Doubles, Open",88609
1992 Winter Olympics,Luge,"Singles, Women",81930
1994 Winter Olympics,Luge,"Singles, Men",86358
1994 Winter Olympics,Luge,"Doubles, Open",87212
1994 Winter Olympics,Luge,"Singles, Women",83024
1998 Winter Olympics,Luge,"Singles, Men",86358
1998 Winter Olympics,Luge,"Doubles, Open",88609
1998 Winter Olympics,Luge,"Singles, Women",100507
2002 Winter Olympics,Luge,"Singles, Men",99296
2002 Winter Olympics,Luge,"Doubles, Open",101507
2002 Winter Olympics,Luge,"Singles, Women",82005
2006 Winter Olympics,Luge,"Singles, Men",99296
2006 Winter Olympics,Luge,"Doubles, Open",101513
2006 Winter Olympics,Luge,"Singles, Women",82005
1924 Winter Olympics,Bobsleigh,"Four/Five, Men",97269
1928 Winter Olympics,Bobsleigh,"Four/Five, Men",95211
1932 Winter Olympics,Bobsleigh,"Two, Men",97837
1932 Winter Olympics,Bobsleigh,"Four, Men",95948
1936 Winter Olympics,Bobsleigh,"Two, Men",84402
1936 Winter Olympics,Bobsleigh,"Four, Men",84297
1948 Winter Olympics,Bobsleigh,"Two, Men",98794
1948 Winter Olympics,Bobsleigh,"Four, Men",84964
1952 Winter Olympics,Bobsleigh,"Two, Men",96104
1952 Winter Olympics,Bobsleigh,"Four, Men",88691
1956 Winter Olympics,Bobsleigh,"Two, Men",84854
1956 Winter Olympics,Bobsleigh,"Four, Men",83648
1964 Winter Olympics,Bobsleigh,"Two, Men",85226
1964 Winter Olympics,Bobsleigh,"Four, Men",87975
1968 Winter Olympics,Bobsleigh,"Two, Men",85073
1968 Winter Olympics,Bobsleigh,"Four, Men",99167
1972 Winter Olympics,Bobsleigh,"Two, Men",99238
1972 Winter Olympics,Bobsleigh,"Four, Men",75825
1976 Winter Olympics,Bobsleigh,"Two, Men",95777
1976 Winter Olympics,Bobsleigh,"Four, Men",83771
1980 Winter Olympics,Bobsleigh,"Two, Men",97370
1980 Winter Olympics,Bobsleigh,"Four, Men",95658
1984 Winter Olympics,Bobsleigh,"Two, Men",87147
1984 Winter Olympics,Bobsleigh,"Four, Men",98918
1988 Winter Olympics,Bobsleigh,"Two, Men",88592
1988 Winter Olympics,Bobsleigh,"Four, Men",97863
1992 Winter Olympics,Bobsleigh,"Two, Men",98854
1992 Winter Olympics,Bobsleigh,"Four, Men",83670
1994 Winter Olympics,Bobsleigh,"Two, Men",83158
1994 Winter Olympics,Bobsleigh,"Four, Men",98068
1998 Winter Olympics,Bobsleigh,"Two, Men",87207
1998 Winter Olympics,Bobsleigh,"Two, Men",92016
1998 Winter Olympics,Bobsleigh,"Four, Men",99243
2002 Winter Olympics,Bobsleigh,"Two, Men",89398
2002 Winter Olympics,Bobsleigh,"Four, Men",101870
2002 Winter Olympics,Bobsleigh,"Two, Women",101654
2006 Winter Olympics,Bobsleigh,"Two, Men",101871
2006 Winter Olympics,Bobsleigh,"Four, Men",110998
2006 Winter Olympics,Bobsleigh,"Two, Women",110776
1992 Winter Olympics,Short Track Speed Skating,"1,000 metres, Men",87949
1992 Winter Olympics,Short Track Speed Skating,"5,000 metres Relay, Men",95507
1992 Winter Olympics,Short Track Speed Skating,"500 metres, Women",82899
1992 Winter Olympics,Short Track Speed Skating,"3,000 metres Relay, Women",80896
1994 Winter Olympics,Short Track Speed Skating,"500 metres, Men",84684
1994 Winter Olympics,Short Track Speed Skating,"1,000 metres, Men",87949
