edition,country_noc,male_athletes,Mixed,Open,female_athletes,total_athletes
1896 Summer Olympics,AUS,1,0,0,0,1
1896 Summer Olympics,AUT,3,0,0,0,3
1896 Summer Olympics,DEN,2,0,0,0,2
1896 Summer Olympics,FRA,7,0,0,0,7
1896 Summer Olympics,GBR,8,0,0,0,8
1896 Summer Olympics,GER,7,0,0,0,7
1896 Summer Olympics,GRE,39,0,0,0,39
1896 Summer Olympics,HUN,5,0,0,0,5
1896 Summer Olympics,SUI,1,0,0,0,1
1896 Summer Olympics,USA,12,0,0,0,12
1900 Summer Olympics,AUS,1,0,0,0,1
1900 Summer Olympics,AUT,4,0,0,0,4
1900 Summer Olympics,BEL,10,0,4,0,14
1900 Summer Olympics,BOH,1,1,0,1,3
1900 Summer Olympics,CUB,1,0,0,0,1
1900 Summer Olympics,DEN,5,0,0,0,5
1900 Summer Olympics,ESP,1,0,0,0,1
1900 Summer Olympics,FRA,61,2,30,2,95
1900 Summer Olympics,GBR,20,3,6,1,30
1900 Summer Olympics,GER,6,0,2,0,8
1900 Summer Olympics,HUN,3,0,0,0,3
1900 Summer Olympics,IND,1,0,0,0,1
1900 Summer Olympics,ITA,3,0,1,0,4
1900 Summer Olympics,MEX,1,0,0,0,1
1900 Summer Olympics,NED,5,0,1,0,6
1900 Summer Olympics,NOR,3,0,0,0,3
1900 Summer Olympics,SUI,4,0,2,1,7
1900 Summer Olympics,SWE,2,0,0,0,2
1900 Summer Olympics,USA,27,1,2,2,32
1904 Summer Olympics,CAN,6,0,0,0,6
1904 Summer Olympics,CUB,2,0,0,0,2
1904 Summer Olympics,GBR,2,0,0,0,2
1904 Summer Olympics,GER,7,0,0,0,7
1904 Summer Olympics,GRE,2,0,0,0,2
1904 Summer Olympics,HUN,2,0,0,0,2
1904 Summer Olympics,USA,157,0,0,4,161
1908 Summer Olympics,ANZ,4,0,0,0,4
1908 Summer Olympics,AUT,1,0,0,0,1
1908 Summer Olympics,BEL,6,0,1,0,7
1908 Summer Olympics,BOH,2,0,0,0,2
1908 Summer Olympics,CAN,15,0,0,0,15
1908 Summer Olympics,DEN,5,0,0,0,5
1908 Summer Olympics,FIN,5,0,0,0,5
1908 Summer Olympics,FRA,16,0,2,0,18
1908 Summer Olympics,GBR,111,2,8,10,131
1908 Summer Olympics,GER,11,1,0,1,13
1908 Summer Olympics,GRE,3,0,0,0,3
1908 Summer Olympics,HUN,7,0,0,0,7
1908 Summer Olympics,ITA,4,0,0,0,4
1908 Summer Olympics,NED,2,0,0,0,2
1908 Summer Olympics,NOR,6,0,0,0,6
1908 Summer Olympics,RSA,2,0,0,0,2
1908 Summer Olympics,RUS,3,0,0,0,3
1908 Summer Olympics,SWE,20,0,1,1,22
1908 Summer Olympics,USA,40,0,0,0,40
1912 Summer Olympics,ANZ,3,0,0,2,5
1912 Summer Olympics,AUT,3,0,0,1,4
1912 Summer Olympics,BEL,6,0,0,0,6
1912 Summer Olympics,CAN,7,0,0,0,7
1912 Summer Olympics,DEN,9,0,1,1,11
1912 Summer Olympics,FIN,17,0,3,0,20
1912 Summer Olympics,FRA,7,1,2,1,11
1912 Summer Olympics,GBR,32,2,0,5,39
1912 Summer Olympics,GER,21,1,1,2,25
1912 Summer Olympics,GRE,1,0,0,0,1
1912 Summer Olympics,HUN,8,0,0,0,8
1912 Summer Olympics,ITA,6,0,2,0,8
1912 Summer Olympics,NED,3,0,0,0,3
1912 Summer Olympics,NOR,7,0,2,1,10
1912 Summer Olympics,RSA,5,0,0,0,5
1912 Summer Olympics,RUS,4,0,1,0,5
1912 Summer Olympics,SUI,0,0,1,0,1
1912 Summer Olympics,SWE,49,1,4,2,56
1912 Summer Olympics,USA,50,0,1,0,51
1920 Summer Olympics,AUS,3,0,0,0,3
1920 Summer Olympics,BEL,26,0,9,0,35
1920 Summer Olympics,BRA,3,0,0,0,3
1920 Summer Olympics,CAN,8,0,0,0,8
1920 Summer Olympics,DEN,11,0,0,1,12
1920 Summer Olympics,ESP,2,0,0,0,2
1920 Summer Olympics,EST,3,0,0,0,3
1920 Summer Olympics,FIN,28,1,0,0,29
1920 Summer Olympics,FRA,34,1,2,2,39
1920 Summer Olympics,GBR,28,2,2,5,37
