country_noc,Tipo,gold,silver,bronze,total
AFG,Verão,0,0,2,2
AHO,Verão,0,1,0,1
AIN,Verão,1,4,1,6
ALB,Verão,0,0,2,2
ALG,Verão,7,4,9,20
ANZ,Verão,3,4,5,12
ARG,Verão,22,28,46,96
ARM,Verão,2,11,9,22
AUS,Inverno,7,7,6,20
AUS,Verão,195,215,255,665
AUT,Inverno,71,88,91,250
AUT,Verão,25,37,46,108
AZE,Verão,9,16,31,56
BAH,Verão,8,2,6,16
BAR,Verão,0,0,1,1
BDI,Verão,1,1,0,2
BEL,Inverno,2,2,4,8
BEL,Verão,49,57,70,176
BER,Verão,1,0,1,2
BLR,Inverno,8,7,5,20
BLR,Verão,13,30,42,85
BOH,Verão,0,1,4,5
BOT,Verão,1,7,1,9
BRA,Verão,41,70,106,217
BRN,Verão,4,3,1,8
BUL,Inverno,1,2,3,6
BUL,Verão,57,89,85,231
BUR,Verão,0,0,1,1
CAN,Inverno,77,72,77,226
CAN,Verão,84,140,158,382
CHI,Verão,3,8,4,15
CHN,Inverno,22,32,23,77
CHN,Verão,334,256,213,803
CIV,Verão,1,1,3,5
CMR,Verão,3,1,2,6
COL,Verão,5,16,17,38
CPV,Verão,0,0,1,1
CRC,Verão,1,1,2,4
CRO,Inverno,4,6,1,11
CRO,Verão,17,27,17,61
CUB,Verão,87,70,88,245
CYP,Verão,0,2,0,2
CZE,Inverno,10,11,13,34
CZE,Verão,23,22,31,76
DEN,Inverno,0,2,0,2
DEN,Verão,66,87,103,256
DJI,Verão,0,0,1,1
DMA,Verão,1,0,0,1
DOM,Verão,4,5,6,15
ECU,Verão,4,5,2,11
EGY,Verão,9,11,19,39
EOR,Verão,0,0,1,1
ERI,Verão,0,0,1,1
ESP,Inverno,1,1,3,5
ESP,Verão,88,79,85,252
EST,Inverno,4,2,2,8
EST,Verão,10,9,17,36
ETH,Verão,24,15,23,62
EUN,Inverno,9,6,8,23
EUN,Verão,45,38,29,112
FIJ,Verão,2,14,1,17
FIN,Inverno,45,65,65,175
FIN,Verão,102,86,120,308
FRA,Inverno,41,42,55,138
FRA,Verão,282,350,320,952
FRG,Inverno,11,15,13,39
FRG,Verão,56,67,81,204
GAB,Verão,0,1,0,1
GBR,Inverno,14,5,19,38
GBR,Verão,332,365,392,1089
GDR,Inverno,39,36,35,110
GDR,Verão,153,129,127,409
GEO,Verão,13,15,19,47
GER,Inverno,114,107,71,292
GER,Verão,263,314,327,904
GHA,Verão,0,1,4,5
GRE,Verão,37,46,47,130
GRN,Verão,1,1,3,5
GUA,Verão,1,1,1,3
GUY,Verão,0,0,1,1
HAI,Verão,0,1,1,2
HKG,Verão,4,3,6,13
HUN,Inverno,2,2,6,10
HUN,Verão,191,168,186,545
INA,Verão,10,14,16,40
IND,Inverno,1,0,0,1
IND,Verão,10,10,37,57
IOA,Verão,1,1,3,5
IRI,Verão,27,29,32,88
IRL,Verão,16,11,20,47
IRQ,Verão,0,0,1,1
ISL,Verão,0,2,2,4
ISR,Verão,4,10,10,24
ISV,Verão,0,1,0,1
ITA,Inverno,42,45,57,144
ITA,Verão,253,222,242,717
JAM,Verão,27,38,28,93
JOR,Verão,1,2,1,4
JPN,Inverno,17,28,31,76
JPN,Verão,196,180,201,577
KAZ,Inverno,1,3,4,8
KAZ,Verão,15,24,40,79
KEN,Verão,39,44,41,124
KGZ,Verão,0,5,8,13
KOR,Inverno,33,30,16,79
KOR,Verão,117,105,122,344
KOS,Verão,3,1,1,5
KSA,Verão,0,2,2,4
KUW,Verão,0,0,3,3
LAT,Inverno,1,3,6,10
LAT,Verão,4,11,6,21
LBN,Verão,0,2,2,4
LCA,Verão,1,1,0,2
LIE,Inverno,2,2,6,10
LTU,Verão,6,9,18,33
LUX,Inverno,0,2,0,2
LUX,Verão,3,2,0,5
MAR,Verão,8,5,31,44
MAS,Verão,0,8,8,16
MDA,Verão,0,3,7,10
MEX,Verão,13,28,40,81
MGL,Verão,2,12,17,31
MKD,Verão,0,1,1,2
MNE,Verão,0,1,0,1
